,txn_date,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death
0,2020-01-12,กระบี่,0,0,0,0,0,0
1,2020-01-12,กรุงเทพมหานคร,1,1,1,1,0,0
2,2020-01-12,กาญจนบุรี,0,0,0,0,0,0
3,2020-01-12,กาฬสินธุ์,0,0,0,0,0,0
4,2020-01-12,กำแพงเพชร,0,0,0,0,0,0
5,2020-01-12,ขอนแก่น,0,0,0,0,0,0
6,2020-01-12,จันทบุรี,0,0,0,0,0,0
7,2020-01-12,ฉะเชิงเทรา,0,0,0,0,0,0
8,2020-01-12,ชลบุรี,0,0,0,0,0,0
9,2020-01-12,ชัยนาท,0,0,0,0,0,0
10,2020-01-12,ชัยภูมิ,0,0,0,0,0,0
11,2020-01-12,ชุมพร,0,0,0,0,0,0
12,2020-01-12,ตรัง,0,0,0,0,0,0
13,2020-01-12,ตราด,0,0,0,0,0,0
14,2020-01-12,ตาก,0,0,0,0,0,0
15,2020-01-12,นครนายก,0,0,0,0,0,0
16,2020-01-12,นครปฐม,0,0,0,0,0,0
17,2020-01-12,นครพนม,0,0,0,0,0,0
18,2020-01-12,นครราชสีมา,0,0,0,0,0,0
19,2020-01-12,นครศรีธรรมราช,0,0,0,0,0,0
20,2020-01-12,นครสวรรค์,0,0,0,0,0,0
21,2020-01-12,นนทบุรี,0,0,0,0,0,0
22,2020-01-12,นราธิวาส,0,0,0,0,0,0
23,2020-01-12,น่าน,0,0,0,0,0,0
24,2020-01-12,บึงกาฬ,0,0,0,0,0,0
25,2020-01-12,บุรีรัมย์,0,0,0,0,0,0
26,2020-01-12,ปทุมธานี,0,0,0,0,0,0
27,2020-01-12,ประจวบคีรีขันธ์,0,0,0,0,0,0
28,2020-01-12,ปราจีนบุรี,0,0,0,0,0,0
29,2020-01-12,ปัตตานี,0,0,0,0,0,0
30,2020-01-12,พระนครศรีอยุธยา,0,0,0,0,0,0
31,2020-01-12,พะเยา,0,0,0,0,0,0
32,2020-01-12,พังงา,0,0,0,0,0,0
33,2020-01-12,พัทลุง,0,0,0,0,0,0
34,2020-01-12,พิจิตร,0,0,0,0,0,0
35,2020-01-12,พิษณุโลก,0,0,0,0,0,0
36,2020-01-12,ภูเก็ต,0,0,0,0,0,0
37,2020-01-12,มหาสารคาม,0,0,0,0,0,0
38,2020-01-12,มุกดาหาร,0,0,0,0,0,0
39,2020-01-12,ยะลา,0,0,0,0,0,0
40,2020-01-12,ยโสธร,0,0,0,0,0,0
41,2020-01-12,ระนอง,0,0,0,0,0,0
42,2020-01-12,ระยอง,0,0,0,0,0,0
43,2020-01-12,ราชบุรี,0,0,0,0,0,0
44,2020-01-12,ร้อยเอ็ด,0,0,0,0,0,0
45,2020-01-12,ลพบุรี,0,0,0,0,0,0
46,2020-01-12,ลำปาง,0,0,0,0,0,0
47,2020-01-12,ลำพูน,0,0,0,0,0,0
48,2020-01-12,ศรีสะเกษ,0,0,0,0,0,0
49,2020-01-12,สกลนคร,0,0,0,0,0,0
50,2020-01-12,สงขลา,0,0,0,0,0,0
51,2020-01-12,สตูล,0,0,0,0,0,0
52,2020-01-12,สมุทรปราการ,0,0,0,0,0,0
53,2020-01-12,สมุทรสงคราม,0,0,0,0,0,0
54,2020-01-12,สมุทรสาคร,0,0,0,0,0,0
55,2020-01-12,สระบุรี,0,0,0,0,0,0
56,2020-01-12,สระแก้ว,0,0,0,0,0,0
57,2020-01-12,สิงห์บุรี,0,0,0,0,0,0
58,2020-01-12,สุพรรณบุรี,0,0,0,0,0,0
59,2020-01-12,สุราษฎร์ธานี,0,0,0,0,0,0
60,2020-01-12,สุรินทร์,0,0,0,0,0,0
61,2020-01-12,สุโขทัย,0,0,0,0,0,0
62,2020-01-12,หนองคาย,0,0,0,0,0,0
63,2020-01-12,หนองบัวลำภู,0,0,0,0,0,0
64,2020-01-12,อำนาจเจริญ,0,0,0,0,0,0
65,2020-01-12,อุดรธานี,0,0,0,0,0,0
66,2020-01-12,อุตรดิตถ์,0,0,0,0,0,0
67,2020-01-12,อุทัยธานี,0,0,0,0,0,0
68,2020-01-12,อุบลราชธานี,0,0,0,0,0,0
69,2020-01-12,อ่างทอง,0,0,0,0,0,0
70,2020-01-12,เชียงราย,0,0,0,0,0,0
71,2020-01-12,เชียงใหม่,0,0,0,0,0,0
72,2020-01-12,เพชรบุรี,0,0,0,0,0,0
73,2020-01-12,เพชรบูรณ์,0,0,0,0,0,0
74,2020-01-12,เลย,0,0,0,0,0,0
75,2020-01-12,แพร่,0,0,0,0,0,0
76,2020-01-12,แม่ฮ่องสอน,0,0,0,0,0,0
77,2020-01-12,ไม่ระบุ,0,0,0,0,0,0
78,2020-01-13,กระบี่,0,0,0,0,0,0
79,2020-01-13,กรุงเทพมหานคร,0,1,0,1,0,0
80,2020-01-13,กาญจนบุรี,0,0,0,0,0,0
81,2020-01-13,กาฬสินธุ์,0,0,0,0,0,0
82,2020-01-13,กำแพงเพชร,0,0,0,0,0,0
83,2020-01-13,ขอนแก่น,0,0,0,0,0,0
84,2020-01-13,จันทบุรี,0,0,0,0,0,0
85,2020-01-13,ฉะเชิงเทรา,0,0,0,0,0,0
86,2020-01-13,ชลบุรี,0,0,0,0,0,0
87,2020-01-13,ชัยนาท,0,0,0,0,0,0
88,2020-01-13,ชัยภูมิ,0,0,0,0,0,0
89,2020-01-13,ชุมพร,0,0,0,0,0,0
90,2020-01-13,ตรัง,0,0,0,0,0,0
91,2020-01-13,ตราด,0,0,0,0,0,0
92,2020-01-13,ตาก,0,0,0,0,0,0
93,2020-01-13,นครนายก,0,0,0,0,0,0
94,2020-01-13,นครปฐม,0,0,0,0,0,0
95,2020-01-13,นครพนม,0,0,0,0,0,0
96,2020-01-13,นครราชสีมา,0,0,0,0,0,0
97,2020-01-13,นครศรีธรรมราช,0,0,0,0,0,0
